NAME,ALT_NAME1,ALT_NAME2,SOURCE,DEFINITION,REG_NAME,DIST_NAME,RELIABILIT,X_COORD,Y_COORD,P_CODE,CODE,FID_1,FID_Somali,NAME_1,ALT_NAME_1,ALT_NAME_2,SOURCE_1,DEFINITI_1,REG_NAME_1,DIST_NAM_1,RELIABIL_1,X_COORD_1,Y_COORD_1,P_CODE_1,CODE_1,FID_som_ad,admin2Name,admin2Pcod,admin2RefN,admin2AltN,admin2Al_1,admin1Name,admin1Pcod,admin0Name,admin0Pcod
Buulo Kuunto,,,UNDP - 2006,Settlement,Middle Shabelle,Balcad,Verified,45.33410000000,2.33246000000,NA-3807-S08-006,S08-006,"2199","1947",Buulo Kuunto,,,UNDP - 2006,Settlement,Middle Shabelle,Balcad,Verified,45.33410000000,2.33246000000,NA-3807-S08-006,S08-006,"44",Balcad,SO2103,Balcad,Balad,,Middle Shabelle,SO21,Somalia,SO
Buulo Kuunyo,,,UNDP - 2006,Settlement,Middle Juba,Saakow,Verified,42.30641000000,1.91929000000,NA-3809-B07-001,B07-001,"1395","1948",Buulo Kuunyo,,,UNDP - 2006,Settlement,Middle Juba,Saakow,Verified,42.30641000000,1.91929000000,NA-3809-B07-001,B07-001,"70",Saakow,SO2703,Saakow,Sakow,,Middle Juba,SO27,Somalia,SO
Buulo Kuusey,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.46256000000,2.97995000000,NA-3805-A33-005,A33-005,"4201","1949",Buulo Kuusey,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.46256000000,2.97995000000,NA-3805-A33-005,A33-005,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Buulo Kuusow,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.24664000000,2.79291000000,NA-3805-E28-001,E28-001,"3519","1950",Buulo Kuusow,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.24664000000,2.79291000000,NA-3805-E28-001,E28-001,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Buulo Leysaan,,,UNDP - 2006,Settlement,Gedo,Baardheere,Verified,42.26756000000,2.34750000000,NA-3805-R06-002,R06-002,"2236","1951",Buulo Leysaan,,,UNDP - 2006,Settlement,Gedo,Baardheere,Verified,42.26756000000,2.34750000000,NA-3805-R06-002,R06-002,"63",Baardheere,SO2602,Baardheere,"Baar-dheere, Bardera",,Gedo,SO26,Somalia,SO
Buulo Macallin Osman,Macalim-Cusmaan,,"KEMRI - 2007, UNDP - 2006",Settlement,Lower Shabelle,Marka,Verified,44.83430000000,1.82948000000,NA-3810-E30-002,E30-002,"1224","1952",Buulo Macallin Osman,Macalim-Cusmaan,,"KEMRI - 2007, UNDP - 2006",Settlement,Lower Shabelle,Marka,Verified,44.83430000000,1.82948000000,NA-3810-E30-002,E30-002,"46",Marka,SO2301,Marka,Merka,,Lower Shabelle,SO23,Somalia,SO
Buulo Macllin,,,UNDP - 1997,Settlement,Middle Shabelle,Jowhar,Verified,45.68281000000,2.80178200000,NA-3807-E16-002,E16-002,"3566","1953",Buulo Macllin,,,UNDP - 1997,Settlement,Middle Shabelle,Jowhar,Verified,45.68281000000,2.80178200000,NA-3807-E16-002,E16-002,"42",Jowhar,SO2101,Jowhar,Jawhar,,Middle Shabelle,SO21,Somalia,SO
Buulo Mad-Baadhil,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.52000000000,3.22782000000,NA-3802-U01-015,U01-015,"4987","1954",Buulo Mad-Baadhil,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.52000000000,3.22782000000,NA-3802-U01-015,U01-015,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Buulo Madey,,,UNDP - 2006,Settlement,Bay,Diinsoor,Verified,42.53741000000,2.35393000000,NA-3805-R12-003,R12-003,"2258","1955",Buulo Madey,,,UNDP - 2006,Settlement,Bay,Diinsoor,Verified,42.53741000000,2.35393000000,NA-3805-R12-003,R12-003,"55",Diinsoor,SO2403,Diinsoor,"Dinsor, Diinsor",,Bay,SO24,Somalia,SO
Buulo Madina,,,UNDP - 1997,Settlement,Middle Shabelle,Jowhar,Verified,45.54745100000,3.06773000000,NA-3803-Y13-001,Y13-001,"4483","1956",Buulo Madina,,,UNDP - 1997,Settlement,Middle Shabelle,Jowhar,Verified,45.54745100000,3.06773000000,NA-3803-Y13-001,Y13-001,"42",Jowhar,SO2101,Jowhar,Jawhar,,Middle Shabelle,SO21,Somalia,SO
Buulo Madow,,,UNDP - 2006,Settlement,Lower Shabelle,Qoryooley,Verified,44.52485000000,1.76580000000,NA-3810-F23-008,F23-008,"1101","1957",Buulo Madow,,,UNDP - 2006,Settlement,Lower Shabelle,Qoryooley,Verified,44.52485000000,1.76580000000,NA-3810-F23-008,F23-008,"50",Qoryooley,SO2305,Qoryooley,Qoryoley,,Lower Shabelle,SO23,Somalia,SO
Buulo Makiino,,,UNDP - 1997,Settlement,Middle Shabelle,Jowhar,Verified,45.62333900000,2.78965100000,NA-3807-F14-009,F14-009,"3502","1958",Buulo Makiino,,,UNDP - 1997,Settlement,Middle Shabelle,Jowhar,Verified,45.62333900000,2.78965100000,NA-3807-F14-009,F14-009,"42",Jowhar,SO2101,Jowhar,Jawhar,,Middle Shabelle,SO21,Somalia,SO
Buulo Mamayow,,,UNDP - 2006,Settlement,Bakool,Xudur,Verified,44.08092000000,3.97248000000,NA-3802-A13-001,A13-001,"6172","1959",Buulo Mamayow,,,UNDP - 2006,Settlement,Bakool,Xudur,Verified,44.08092000000,3.97248000000,NA-3802-A13-001,A13-001,"57",Xudur,SO2501,Xudur,Hudur,,Bakool,SO25,Somalia,SO
Buulo Mandero,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.70339000000,2.91661000000,NA-3806-C05-005,C05-005,"3962","1960",Buulo Mandero,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.70339000000,2.91661000000,NA-3806-C05-005,C05-005,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Buulo Mareer,Buulo Marrer Sl,Mareer,"UNDP - 2006, UNDP - 1997",Settlement,Lower Shabelle,Marka,Verified,44.52252000000,1.63335000000,NA-3810-J23-002,J23-002,"862","1961",Buulo Mareer,Buulo Marrer Sl,Mareer,"UNDP - 2006, UNDP - 1997",Settlement,Lower Shabelle,Marka,Verified,44.52252000000,1.63335000000,NA-3810-J23-002,J23-002,"46",Marka,SO2301,Marka,Merka,,Lower Shabelle,SO23,Somalia,SO
Buulo Marer,,,UNDP - 1997,Settlement,Bay,Baidoa,Verified,44.06935900000,3.30187000000,NA-3802-S13-001,S13-001,"5191","1962",Buulo Marer,,,UNDP - 1997,Settlement,Bay,Baidoa,Verified,44.06935900000,3.30187000000,NA-3802-S13-001,S13-001,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Buulo Marer,,,UNDP - 2006,Settlement,Gedo,Baardheere,Verified,42.40325000000,2.22694000000,NA-3805-U09-001,U09-001,"1944","1963",Buulo Marer,,,UNDP - 2006,Settlement,Gedo,Baardheere,Verified,42.40325000000,2.22694000000,NA-3805-U09-001,U09-001,"63",Baardheere,SO2602,Baardheere,"Baar-dheere, Bardera",,Gedo,SO26,Somalia,SO
Buulo Mariin,,,UNDP - 2006,Settlement,Bay,Buur Hakaba,Verified,44.34083000000,2.96860000000,NA-3806-A19-001,A19-001,"4153","1964",Buulo Mariin,,,UNDP - 2006,Settlement,Bay,Buur Hakaba,Verified,44.34083000000,2.96860000000,NA-3806-A19-001,A19-001,"54",Buur Hakaba,SO2402,Buur Hakaba,"Buur Xakaba, Bur Hacaba",,Bay,SO24,Somalia,SO
Buulo Masaajid,,,UNDP - 2006,Settlement,Bay,Qansax Dheere,Verified,42.93733000000,2.80324000000,NA-3805-E21-002,E21-002,"3578","1965",Buulo Masaajid,,,UNDP - 2006,Settlement,Bay,Qansax Dheere,Verified,42.93733000000,2.80324000000,NA-3805-E21-002,E21-002,"56",Qansax Dheere,SO2404,Qansax Dheere,Qansah Dere,,Bay,SO24,Somalia,SO
Buulo Massib,,,UNDP - 1997,Settlement,Bay,Buur Hakaba,Verified,44.06842000000,2.79557000000,NA-3806-E13-002,E13-002,"3534","1966",Buulo Massib,,,UNDP - 1997,Settlement,Bay,Buur Hakaba,Verified,44.06842000000,2.79557000000,NA-3806-E13-002,E13-002,"54",Buur Hakaba,SO2402,Buur Hakaba,"Buur Xakaba, Bur Hacaba",,Bay,SO24,Somalia,SO
Buulo Matiili,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.51020000000,3.30073000000,NA-3802-S01-006,S01-006,"5182","1967",Buulo Matiili,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.51020000000,3.30073000000,NA-3802-S01-006,S01-006,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Buulo Maxamuud,,,UNDP - 1997,Settlement,Middle Shabelle,Jowhar,Verified,45.61589800000,2.79617000000,NA-3807-E14-002,E14-002,"3540","1968",Buulo Maxamuud,,,UNDP - 1997,Settlement,Middle Shabelle,Jowhar,Verified,45.61589800000,2.79617000000,NA-3807-E14-002,E14-002,"42",Jowhar,SO2101,Jowhar,Jawhar,,Middle Shabelle,SO21,Somalia,SO
Buulo Maxamuud Aadan,,,UNDP - 1997,Settlement,Middle Shabelle,Jowhar,Verified,45.59809900000,2.78220000000,NA-3807-F14-007,F14-007,"3486","1969",Buulo Maxamuud Aadan,,,UNDP - 1997,Settlement,Middle Shabelle,Jowhar,Verified,45.59809900000,2.78220000000,NA-3807-F14-007,F14-007,"42",Jowhar,SO2101,Jowhar,Jawhar,,Middle Shabelle,SO21,Somalia,SO
Buulo Mayow,,,UNDP - 2006,Settlement,Lower Shabelle,Qoryooley,Verified,44.38372000000,1.75568000000,NA-3810-F20-001,F20-001,"1083","1970",Buulo Mayow,,,UNDP - 2006,Settlement,Lower Shabelle,Qoryooley,Verified,44.38372000000,1.75568000000,NA-3810-F20-001,F20-001,"50",Qoryooley,SO2305,Qoryooley,Qoryoley,,Lower Shabelle,SO23,Somalia,SO
Buulo Meed,,,UNDP - 2006,Settlement,Lower Shabelle,Qoryooley,Verified,44.56835000000,2.00228000000,NA-3806-Z24-001,Z24-001,"1468","1971",Buulo Meed,,,UNDP - 2006,Settlement,Lower Shabelle,Qoryooley,Verified,44.56835000000,2.00228000000,NA-3806-Z24-001,Z24-001,"50",Qoryooley,SO2305,Qoryooley,Qoryoley,,Lower Shabelle,SO23,Somalia,SO
Buulo Meegag,,,UNDP - 2006,Settlement,Bakool,Rab Dhuure,Verified,43.11424000000,4.07746000000,NB-3813-Y25-003,Y25-003,"6405","1972",Buulo Meegag,,,UNDP - 2006,Settlement,Bakool,Rab Dhuure,Verified,43.11424000000,4.07746000000,NB-3813-Y25-003,Y25-003,"61",Rab Dhuure,SO2505,Rab Dhuure,"Yeed, Biyole",,Bakool,SO25,Somalia,SO
Buulo Moddi,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.50300000000,3.43390000000,NA-3802-P01-004,P01-004,"5421","1973",Buulo Moddi,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.50300000000,3.43390000000,NA-3802-P01-004,P01-004,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Buulo Mogaw,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.56516000000,3.25218000000,NA-3802-T02-006,T02-006,"5062","1974",Buulo Mogaw,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.56516000000,3.25218000000,NA-3802-T02-006,T02-006,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Buulo Mumin,,,UNDP - 2006,Settlement,Bakool,Xudur,Verified,44.08011000000,3.97496000000,NA-3802-A13-003,A13-003,"6173","1975",Buulo Mumin,,,UNDP - 2006,Settlement,Bakool,Xudur,Verified,44.08011000000,3.97496000000,NA-3802-A13-003,A13-003,"57",Xudur,SO2501,Xudur,Hudur,,Bakool,SO25,Somalia,SO
Buulo Naagad,Buulo Barwaqo,,KEMRI - 2007,Settlement,Lower Shabelle,Marka,Verified,44.84613000000,1.84937000000,NA-3810-D30-003,D30-003,"1270","1976",Buulo Naagad,Buulo Barwaqo,,KEMRI - 2007,Settlement,Lower Shabelle,Marka,Verified,44.84613000000,1.84937000000,NA-3810-D30-003,D30-003,"46",Marka,SO2301,Marka,Merka,,Lower Shabelle,SO23,Somalia,SO
Buulo Noofe,,,UNDP - 1997,Settlement,Middle Shabelle,Balcad,Verified,45.58966100000,2.71825000000,NA-3807-G13-002,G13-002,"3272","1977",Buulo Noofe,,,UNDP - 1997,Settlement,Middle Shabelle,Balcad,Verified,45.58966100000,2.71825000000,NA-3807-G13-002,G13-002,"44",Balcad,SO2103,Balcad,Balad,,Middle Shabelle,SO21,Somalia,SO
Buulo Nuugiriish,,,KEMRI - 2007,Settlement,Lower Shabelle,Marka,Verified,44.83199000000,1.84712000000,NA-3810-D30-002,D30-002,"1264","1978",Buulo Nuugiriish,,,KEMRI - 2007,Settlement,Lower Shabelle,Marka,Verified,44.83199000000,1.84712000000,NA-3810-D30-002,D30-002,"46",Marka,SO2301,Marka,Merka,,Lower Shabelle,SO23,Somalia,SO
Buulo Nuuney,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.43811000000,2.98676000000,NA-3805-A32-007,A32-007,"4223","1979",Buulo Nuuney,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.43811000000,2.98676000000,NA-3805-A32-007,A32-007,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Buulo Nuurow,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.28937000000,3.05353000000,NA-3801-Y29-016,Y29-016,"4422","1980",Buulo Nuurow,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.28937000000,3.05353000000,NA-3801-Y29-016,Y29-016,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Buulo Nuurow,,,UNDP - 2006,Settlement,Bay,Buur Hakaba,Verified,43.46112000000,2.14704000000,NA-3805-W33-002,W33-002,"1751","1981",Buulo Nuurow,,,UNDP - 2006,Settlement,Bay,Buur Hakaba,Verified,43.46112000000,2.14704000000,NA-3805-W33-002,W33-002,"54",Buur Hakaba,SO2402,Buur Hakaba,"Buur Xakaba, Bur Hacaba",,Bay,SO24,Somalia,SO
Buulo Obliko,,,UNDP - 1997,Settlement,Hiraan,Belet Weyne,Verified,45.18040800000,4.80516000000,NB-3815-E04-001,E04-001,"6850","1982",Buulo Obliko,,,UNDP - 1997,Settlement,Hiraan,Belet Weyne,Verified,45.18040800000,4.80516000000,NB-3815-E04-001,E04-001,"39",Belet Weyne,SO2001,Belet Weyne,Beled Weyne,,Hiraan,SO20,Somalia,SO
Buulo Oomin/Hawal-Shariif,,,UNDP - 2006,Settlement,Gedo,Garbahaarey,Verified,42.84465000000,3.24196000000,NA-3801-U19-001,U19-001,"5034","1983",Buulo Oomin/Hawal-Shariif,,,UNDP - 2006,Settlement,Gedo,Garbahaarey,Verified,42.84465000000,3.24196000000,NA-3801-U19-001,U19-001,"62",Garbahaarey,SO2601,Garbahaarey,"Garbahaaray, Garbaharey",,Gedo,SO26,Somalia,SO
Buulo Oon Jirre,,,UNDP - 1997,Settlement,Bay,Qansax Dheere,Verified,43.09621000000,3.04438000000,NA-3801-Y25-014,Y25-014,"4389","1984",Buulo Oon Jirre,,,UNDP - 1997,Settlement,Bay,Qansax Dheere,Verified,43.09621000000,3.04438000000,NA-3801-Y25-014,Y25-014,"56",Qansax Dheere,SO2404,Qansax Dheere,Qansah Dere,,Bay,SO24,Somalia,SO
Buulo Oore,,,UNDP - 2006,Settlement,Bakool,Rab Dhuure,Verified,43.12939000000,4.07324000000,NB-3813-Y25-004,Y25-004,"6401","1985",Buulo Oore,,,UNDP - 2006,Settlement,Bakool,Rab Dhuure,Verified,43.12939000000,4.07324000000,NB-3813-Y25-004,Y25-004,"61",Rab Dhuure,SO2505,Rab Dhuure,"Yeed, Biyole",,Bakool,SO25,Somalia,SO
Buulo Qacda,,,UNDP - 2006,Settlement,Middle Shabelle,Jowhar,Verified,45.39513000000,2.85548000000,NA-3807-D09-003,D09-003,"3771","1986",Buulo Qacda,,,UNDP - 2006,Settlement,Middle Shabelle,Jowhar,Verified,45.39513000000,2.85548000000,NA-3807-D09-003,D09-003,"42",Jowhar,SO2101,Jowhar,Jawhar,,Middle Shabelle,SO21,Somalia,SO
Buulo Qalal,,,UNDP - 1997,Settlement,Hiraan,Jalalaqsi,Verified,45.52925900000,3.39948000000,NA-3803-Q12-001,Q12-001,"5379","1987",Buulo Qalal,,,UNDP - 1997,Settlement,Hiraan,Jalalaqsi,Verified,45.52925900000,3.39948000000,NA-3803-Q12-001,Q12-001,"41",Jalalaqsi,SO2003,Jalalaqsi,,,Hiraan,SO20,Somalia,SO
Buulo Qalooc,,,UNDP - 2006,Settlement,Gedo,Doolow,Verified,42.12894000000,4.14908000000,NB-3813-W03-001,W03-001,"6494","1988",Buulo Qalooc,,,UNDP - 2006,Settlement,Gedo,Doolow,Verified,42.12894000000,4.14908000000,NB-3813-W03-001,W03-001,"66",Doolow,SO2605,Doolow,"Dolow, Dolo",,Gedo,SO26,Somalia,SO
Buulo Qaran,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.52230000000,3.25169000000,NA-3802-T01-013,T01-013,"5059","1989",Buulo Qaran,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.52230000000,3.25169000000,NA-3802-T01-013,T01-013,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Buulo Qidan,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.27049000000,3.20528000000,NA-3801-V28-001,V28-001,"4923","1990",Buulo Qidan,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.27049000000,3.20528000000,NA-3801-V28-001,V28-001,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Buulo Qodaxleey,Buulo Qadaxley,,UNDP - 2006,Settlement,Hiraan,Jalalaqsi,Verified,45.63028000000,3.43967000000,NA-3803-P14-006,P14-006,"5425","1991",Buulo Qodaxleey,Buulo Qadaxley,,UNDP - 2006,Settlement,Hiraan,Jalalaqsi,Verified,45.63028000000,3.43967000000,NA-3803-P14-006,P14-006,"41",Jalalaqsi,SO2003,Jalalaqsi,,,Hiraan,SO20,Somalia,SO
Buulo Qurin,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.40186000000,3.20289000000,NA-3801-V31-005,V31-005,"4908","1992",Buulo Qurin,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.40186000000,3.20289000000,NA-3801-V31-005,V31-005,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Buulo Qurun,,,UNDP - 2006,Settlement,Bay,Qansax Dheere,Verified,43.10098000000,3.05747000000,NA-3801-Y25-008,Y25-008,"4436","1993",Buulo Qurun,,,UNDP - 2006,Settlement,Bay,Qansax Dheere,Verified,43.10098000000,3.05747000000,NA-3801-Y25-008,Y25-008,"56",Qansax Dheere,SO2404,Qansax Dheere,Qansah Dere,,Bay,SO24,Somalia,SO
Buulo Raagow,,,UNDP - 2006,Settlement,Lower Shabelle,Wanla Weyn,Verified,45.18657200000,2.64786800000,NA-3807-J05-003,J05-003,"3076","1994",Buulo Raagow,,,UNDP - 2006,Settlement,Lower Shabelle,Wanla Weyn,Verified,45.18657200000,2.64786800000,NA-3807-J05-003,J05-003,"52",Wanla Weyn,SO2307,Wanla Weyn,Wanla Weyne,,Lower Shabelle,SO23,Somalia,SO
Buulo Raaxo,Tuulo-Raxo,,"UNDP - 2006, FSAU",Settlement,Hiraan,Belet Weyne,Verified,45.09870000000,4.88797000000,NB-3815-C03-003,C03-003,"6899","1995",Buulo Raaxo,Tuulo-Raxo,,"UNDP - 2006, FSAU",Settlement,Hiraan,Belet Weyne,Verified,45.09870000000,4.88797000000,NB-3815-C03-003,C03-003,"39",Belet Weyne,SO2001,Belet Weyne,Beled Weyne,,Hiraan,SO20,Somalia,SO
Buulo Rasqi,,,UNDP - 1997,Settlement,Lower Shabelle,Afgooye,Verified,45.18283800000,2.14763000000,NA-3807-W05-001,W05-001,"1754","1996",Buulo Rasqi,,,UNDP - 1997,Settlement,Lower Shabelle,Afgooye,Verified,45.18283800000,2.14763000000,NA-3807-W05-001,W05-001,"47",Afgooye,SO2302,Afgooye,Afgoi,,Lower Shabelle,SO23,Somalia,SO
Buulo Reer Shiikh Cabdulle,,,UNDP - 1997,Settlement,Middle Shabelle,Balcad,Verified,45.79760000000,2.69930000000,NA-3807-H18-001,H18-001,"3230","1997",Buulo Reer Shiikh Cabdulle,,,UNDP - 1997,Settlement,Middle Shabelle,Balcad,Verified,45.79760000000,2.69930000000,NA-3807-H18-001,H18-001,"44",Balcad,SO2103,Balcad,Balad,,Middle Shabelle,SO21,Somalia,SO
Buulo Sabar,,,UNDP - 1997,Settlement,Bay,Baidoa,Verified,44.05685000000,3.53160000000,NA-3802-M13-001,M13-001,"5505","1998",Buulo Sabar,,,UNDP - 1997,Settlement,Bay,Baidoa,Verified,44.05685000000,3.53160000000,NA-3802-M13-001,M13-001,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Buulo Sh Cali,,,UNDP - 2006,Settlement,Lower Shabelle,Qoryooley,Verified,44.53414000000,2.07929000000,NA-3806-Y23-004,Y23-004,"1556","1999",Buulo Sh Cali,,,UNDP - 2006,Settlement,Lower Shabelle,Qoryooley,Verified,44.53414000000,2.07929000000,NA-3806-Y23-004,Y23-004,"50",Qoryooley,SO2305,Qoryooley,Qoryoley,,Lower Shabelle,SO23,Somalia,SO
Buulo Shaabey,,,UNDP - 2006,Settlement,Gedo,Luuq,Verified,42.91218000000,3.81596000000,NA-3801-E21-001,E21-001,"5897","2000",Buulo Shaabey,,,UNDP - 2006,Settlement,Gedo,Luuq,Verified,42.91218000000,3.81596000000,NA-3801-E21-001,E21-001,"67",Luuq,SO2606,Luuq,"Luuk, Luq",,Gedo,SO26,Somalia,SO
Buulo Shanta,,,UNDP - 1997,Settlement,Bay,Baidoa,Verified,43.48844100000,3.36520000000,NA-3801-R33-001,R33-001,"5331","2001",Buulo Shanta,,,UNDP - 1997,Settlement,Bay,Baidoa,Verified,43.48844100000,3.36520000000,NA-3801-R33-001,R33-001,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Buulo Shariif,,,UNDP - 2006,Settlement,Gedo,Luuq,Verified,43.02156000000,4.01256000000,NB-3813-Z23-002,Z23-002,"6267","2002",Buulo Shariif,,,UNDP - 2006,Settlement,Gedo,Luuq,Verified,43.02156000000,4.01256000000,NB-3813-Z23-002,Z23-002,"67",Luuq,SO2606,Luuq,"Luuk, Luq",,Gedo,SO26,Somalia,SO
Buulo Sheekh,,,UNDP - 2006,Settlement,Bay,Qansax Dheere,Verified,42.93990000000,2.86227000000,NA-3805-D21-002,D21-002,"3791","2003",Buulo Sheekh,,,UNDP - 2006,Settlement,Bay,Qansax Dheere,Verified,42.93990000000,2.86227000000,NA-3805-D21-002,D21-002,"56",Qansax Dheere,SO2404,Qansax Dheere,Qansah Dere,,Bay,SO24,Somalia,SO
Buulo Sheekh,Shiikh,,"UNDP - 2006, UNDP - 1997",Settlement,Lower Shabelle,Qoryooley,Verified,44.55953000000,1.75351000000,NA-3810-F24-002,F24-002,"1077","2004",Buulo Sheekh,Shiikh,,"UNDP - 2006, UNDP - 1997",Settlement,Lower Shabelle,Qoryooley,Verified,44.55953000000,1.75351000000,NA-3810-F24-002,F24-002,"50",Qoryooley,SO2305,Qoryooley,Qoryoley,,Lower Shabelle,SO23,Somalia,SO
Buulo Shiid,,,UNDP - 2006,Settlement,Gedo,Baardheere,Verified,42.48078000000,2.49034000000,NA-3805-N11-001,N11-001,"2607","2005",Buulo Shiid,,,UNDP - 2006,Settlement,Gedo,Baardheere,Verified,42.48078000000,2.49034000000,NA-3805-N11-001,N11-001,"63",Baardheere,SO2602,Baardheere,"Baar-dheere, Bardera",,Gedo,SO26,Somalia,SO
Buulo Shiikh Cilmi,,,UNDP - 2006,Settlement,Hiraan,Jalalaqsi,Verified,45.66508000000,3.52563000000,NA-3803-M15-001,M15-001,"5499","2006",Buulo Shiikh Cilmi,,,UNDP - 2006,Settlement,Hiraan,Jalalaqsi,Verified,45.66508000000,3.52563000000,NA-3803-M15-001,M15-001,"41",Jalalaqsi,SO2003,Jalalaqsi,,,Hiraan,SO20,Somalia,SO
Buulo Shiiq,Buulo Sheikh,,"UNDP - 2006, FSAU",Settlement,Lower Shabelle,Sablaale,Verified,43.71338000000,1.17952000000,NA-3810-V05-004,V05-004,"602","2007",Buulo Shiiq,Buulo Sheikh,,"UNDP - 2006, FSAU",Settlement,Lower Shabelle,Sablaale,Verified,43.71338000000,1.17952000000,NA-3810-V05-004,V05-004,"51",Sablaale,SO2306,Sablaale,Sablale,,Lower Shabelle,SO23,Somalia,SO
Buulo Shiiq,Buulo Shaq,,"UNDP - 2006, UNDP - 1997",Settlement,Galgaduud,Dhuusamarreeb,Verified,46.21643000000,5.38938000000,NB-3811-Q27-001,Q27-001,"7038","2008",Buulo Shiiq,Buulo Shaq,,"UNDP - 2006, UNDP - 1997",Settlement,Galgaduud,Dhuusamarreeb,Verified,46.21643000000,5.38938000000,NB-3811-Q27-001,Q27-001,"34",Dhuusamarreeb,SO1901,Dhuusamarreeb,"Dhusa Marreeb, Dhuusamareeb, Dhusa Mareeb",,Galgaduud,SO19,Somalia,SO
Buulo Shiiqaalow,Bulo Shiifalow,Buulo Shiik,"UNDP - 2006, UNDP - 1997",Settlement,Middle Shabelle,Jowhar,Verified,45.55047000000,2.79037000000,NA-3807-F13-008,F13-008,"3512","2009",Buulo Shiiqaalow,Bulo Shiifalow,Buulo Shiik,"UNDP - 2006, UNDP - 1997",Settlement,Middle Shabelle,Jowhar,Verified,45.55047000000,2.79037000000,NA-3807-F13-008,F13-008,"42",Jowhar,SO2101,Jowhar,Jawhar,,Middle Shabelle,SO21,Somalia,SO
Buulo Siidow,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.58760000000,3.28833000000,NA-3802-T02-014,T02-014,"5157","2010",Buulo Siidow,,,UNDP - 2006,Settlement,Bay,Baidoa,Verified,43.58760000000,3.28833000000,NA-3802-T02-014,T02-014,"53",Baydhaba,SO2401,Baydhaba,"Baydhabo, Baidoa",,Bay,SO24,Somalia,SO
Buulo Siidow,,,UNDP - 2006,Settlement,Lower Shabelle,Qoryooley,Verified,44.53671000000,1.78830000000,NA-3810-F23-020,F23-020,"1158","2011",Buulo Siidow,,,UNDP - 2006,Settlement,Lower Shabelle,Qoryooley,Verified,44.53671000000,1.78830000000,NA-3810-F23-020,F23-020,"50",Qoryooley,SO2305,Qoryooley,Qoryoley,,Lower Shabelle,SO23,Somalia,SO
